# chunk 1009 1409 levels 0..0 squares 64
1009 1409 8072 11272 0 | diamondFloor,exterior,solidfloor | 104=14 | 134004735 134004735 0 | 0 0 1 | 112 | -1 | @8032,11272
1009 1409 8073 11272 0 | diamondFloor,exterior,solidfloor | 104=14 | 133967871 133967871 0 | 0 0 1 | 124 | -1 | @8032,11272
1009 1409 8074 11272 0 | diamondFloor,exterior,solidfloor | 104=14 | 133967871 133967871 0 | 0 0 1 | 124 | -1 | @8032,11272
1009 1409 8075 11272 0 | diamondFloor,exterior,solidfloor | 104=14 | 133967871 133967871 0 | 0 0 1 | 124 | -1 | @8032,11272
1009 1409 8076 11272 0 | diamondFloor,exterior,solidfloor | 104=14 | 133967871 133967871 0 | 0 0 1 | 124 | -1 | @8032,11272
1009 1409 8077 11272 0 | diamondFloor,exterior,solidfloor | 104=14 | 133967871 133967871 0 | 0 0 1 | 124 | -1 | @8032,11272
1009 1409 8078 11272 0 | diamondFloor,exterior,solidfloor | 104=14 | 133967871 133967871 0 | 0 0 1 | 124 | -1 | @8032,11272
1009 1409 8079 11272 0 | diamondFloor,exterior,solidfloor | 104=14 | 134115327 134115327 0 | 0 0 1 | 28 | -1 | @8032,11272
1009 1409 8072 11273 0 | diamondFloor,exterior,solidfloor | 104=14 | 134001663 134001663 0 | 0 0 1 | 241 | -1 | @8032,11272
1009 1409 8073 11273 0 | diamondFloor,exterior,solidfloor | 104=14 | 133964287 133964287 0 | 0 0 1 | 255 | -1 | @8032,11272
1009 1409 8074 11273 0 | diamondFloor,exterior,solidfloor | 104=14 | 133964287 133964287 0 | 0 0 1 | 255 | -1 | @8032,11272
1009 1409 8075 11273 0 | diamondFloor,exterior,solidfloor | 104=14 | 133964287 133964287 0 | 0 0 1 | 255 | -1 | @8032,11272
1009 1409 8076 11273 0 | diamondFloor,exterior,solidfloor | 104=14 | 133964287 133964287 0 | 0 0 1 | 255 | -1 | @8032,11272
1009 1409 8077 11273 0 | diamondFloor,exterior,solidfloor | 104=14 | 133964287 133964287 0 | 0 0 1 | 255 | -1 | @8032,11272
1009 1409 8078 11273 0 | diamondFloor,exterior,solidfloor | 104=14 | 133964287 133964287 0 | 0 0 1 | 255 | -1 | @8032,11272
1009 1409 8079 11273 0 | diamondFloor,exterior,solidfloor | 104=14 | 134113791 134113791 0 | 0 0 1 | 31 | -1 | @8032,11272
1009 1409 8072 11274 0 | diamondFloor,exterior,solidfloor | 104=14 | 134001663 134001663 0 | 0 0 1 | 241 | -1 | @8032,11272
1009 1409 8073 11274 0 | diamondFloor,exterior,solidfloor | 104=14 | 133964287 133964287 0 | 0 0 1 | 255 | -1 | @8032,11272
1009 1409 8074 11274 0 | diamondFloor,exterior,solidfloor | 104=14 | 133964287 133964287 0 | 0 0 1 | 255 | -1 | @8032,11272
1009 1409 8075 11274 0 | diamondFloor,exterior,solidfloor | 104=14 | 133964287 133964287 0 | 0 0 1 | 255 | -1 | @8032,11272
1009 1409 8076 11274 0 | diamondFloor,exterior,solidfloor | 104=14 | 133964287 133964287 0 | 0 0 1 | 255 | -1 | @8032,11272
1009 1409 8077 11274 0 | diamondFloor,exterior,solidfloor | 104=14 | 133964287 133964287 0 | 0 0 1 | 255 | -1 | @8032,11272
1009 1409 8078 11274 0 | diamondFloor,exterior,solidfloor | 104=14 | 133964287 133964287 0 | 0 0 1 | 255 | -1 | @8032,11272
1009 1409 8079 11274 0 | diamondFloor,exterior,solidfloor | 104=14 | 134113791 134113791 0 | 0 0 1 | 31 | -1 | @8032,11272
1009 1409 8072 11275 0 | diamondFloor,exterior,solidfloor | 104=14 | 134001663 134001663 0 | 0 0 1 | 241 | -1 | @8032,11272
1009 1409 8073 11275 0 | diamondFloor,exterior,solidfloor | 104=14 | 133964287 133964287 0 | 0 0 1 | 255 | -1 | @8032,11272
1009 1409 8074 11275 0 | diamondFloor,exterior,solidfloor | 104=14 | 133964287 133964287 0 | 0 0 1 | 255 | -1 | @8032,11272
1009 1409 8075 11275 0 | diamondFloor,exterior,solidfloor | 104=14 | 133964287 133964287 0 | 0 0 1 | 255 | -1 | @8032,11272
1009 1409 8076 11275 0 | diamondFloor,exterior,solidfloor | 104=14 | 133964287 133964287 0 | 0 0 1 | 255 | -1 | @8032,11272
1009 1409 8077 11275 0 | diamondFloor,exterior,solidfloor | 104=14 | 133964287 133964287 0 | 0 0 1 | 255 | -1 | @8032,11272
1009 1409 8078 11275 0 | diamondFloor,exterior,solidfloor | 104=14 | 133964287 133964287 0 | 0 0 1 | 255 | -1 | @8032,11272
1009 1409 8079 11275 0 | diamondFloor,exterior,solidfloor | 104=14 | 134113791 134113791 0 | 0 0 1 | 31 | -1 | @8032,11272
1009 1409 8072 11276 0 | diamondFloor,exterior,solidfloor | 104=14 | 134001663 134001663 0 | 0 0 1 | 241 | -1 | @8032,11272
1009 1409 8073 11276 0 | diamondFloor,exterior,solidfloor | 104=14 | 133964287 133964287 0 | 0 0 1 | 255 | -1 | @8032,11272
1009 1409 8074 11276 0 | diamondFloor,exterior,solidfloor | 104=14 | 133964287 133964287 0 | 0 0 1 | 255 | -1 | @8032,11272
1009 1409 8075 11276 0 | diamondFloor,exterior,solidfloor | 104=14 | 133964287 133964287 0 | 0 0 1 | 255 | -1 | @8032,11272
1009 1409 8076 11276 0 | diamondFloor,exterior,solidfloor | 104=14 | 133964287 133964287 0 | 0 0 1 | 255 | -1 | @8032,11272
1009 1409 8077 11276 0 | diamondFloor,exterior,solidfloor | 104=14 | 133964287 133964287 0 | 0 0 1 | 255 | -1 | @8032,11272
1009 1409 8078 11276 0 | diamondFloor,exterior,solidfloor | 104=14 | 133964287 133964287 0 | 0 0 1 | 255 | -1 | @8032,11272
1009 1409 8079 11276 0 | diamondFloor,exterior,solidfloor | 104=14 | 134113791 134113791 0 | 0 0 1 | 31 | -1 | @8032,11272
1009 1409 8072 11277 0 | diamondFloor,exterior,solidfloor | 104=14 | 134001663 134001663 0 | 0 0 1 | 241 | -1 | @8032,11272
1009 1409 8073 11277 0 | diamondFloor,exterior,solidfloor | 104=14 | 133964287 133964287 0 | 0 0 1 | 255 | -1 | @8032,11272
1009 1409 8074 11277 0 | diamondFloor,exterior,solidfloor | 104=14 | 133964287 133964287 0 | 0 0 1 | 255 | -1 | @8032,11272
1009 1409 8075 11277 0 | diamondFloor,exterior,solidfloor | 104=14 | 133964287 133964287 0 | 0 0 1 | 255 | -1 | @8032,11272
